Geneid	R4C-rep1	R4C-rep2	R4C-rep3	R4S-rep1	R4S-rep2	R4S-rep3	ROP2-rep1	ROW2-rep1
gene:Solyc12g099920.2	701	698	755	697	688	806	1470	1901
gene:Solyc12g099910.2	6520	7006	7207	5943	5027	5463	5183	8797
gene:Solyc12g099900.1	514	632	712	636	553	623	1143	1423
gene:Solyc12g099890.2	4047	4600	4012	3380	3475	3560	3595	5030
gene:Solyc12g099880.1	10	9	8	8	4	2	0	0
gene:Solyc12g099870.3	30	34	54	38	22	12	0	0
gene:Solyc12g099860.2	189	157	159	144	130	184	299	444
gene:Solyc12g099850.1	179	252	289	386	301	332	215	467
gene:Solyc12g099840.1	457	448	362	438	464	491	337	634
gene:Solyc12g099830.2	1499	1599	1731	1786	1543	1504	2477	2085
gene:Solyc12g099820.1	503	632	466	444	455	443	585	493
gene:Solyc12g099810.2	328	304	450	527	352	347	173	415
gene:Solyc12g099800.2	1259	1245	971	940	971	1085	694	582
gene:Solyc12g099790.3	57	82	96	40	31	36	101	144
gene:Solyc12g099780.2	10	8	4	4	17	16	79	52
gene:Solyc12g099770.2	736	722	889	983	970	880	2563	1924
gene:Solyc12g099760.2	893	875	999	916	1007	971	3309	3262
gene:Solyc12g099740.2	2478	2435	2902	3231	2851	2639	2946	5100
gene:Solyc12g099730.3	0	0	2	0	0	0	0	0
gene:Solyc12g099720.2	0	0	2	4	0	0	60	52
gene:Solyc12g099705.1	1974	2663	2235	2625	1594	1442	1262	1126
gene:Solyc12g099700.3	1400	1666	1402	1278	1184	1094	688	774
gene:Solyc12g099690.1	0	0	0	0	0	0	1	0
gene:Solyc12g099680.1	0	0	0	0	0	0	0	0
gene:Solyc12g099670.1	0	0	0	0	2	2	0	0
gene:Solyc12g099660.2	4366	4702	4446	4998	5012	4781	5536	7537
gene:Solyc12g099655.1	0	0	0	0	2	0	2	0
gene:Solyc12g099650.2	3378	3318	3942	9549	7262	6990	1232	617
gene:Solyc12g099640.1	25	13	23	37	27	31	49	32
gene:Solyc12g099630.2	107	143	145	171	168	162	298	289
gene:Solyc12g099620.1	65	139	89	150	152	159	133	286
gene:Solyc12g099610.1	0	0	0	0	0	0	0	0
gene:Solyc12g099600.2	445	424	558	296	268	314	461	491
gene:Solyc12g099590.1	104	94	108	91	55	82	18	2
gene:Solyc12g099580.2	6	2	6	10	5	2	12	0
gene:Solyc12g099570.3	715	716	744	894	788	748	993	634
gene:Solyc12g099560.2	3506	4182	4089	4479	3765	3748	4340	4951
gene:Solyc12g099550.1	161	200	180	142	151	189	253	191
gene:Solyc12g099540.2	1002	1604	3047	1982	1092	1309	1072	916
gene:Solyc12g099530.3	1193	1263	1178	1329	1401	1360	1903	2806
gene:Solyc12g099520.3	0	0	0	0	0	0	10	0
gene:Solyc12g099510.3	4368	5535	6291	5304	4779	4409	2879	4036
gene:Solyc12g099500.2	1483	1256	1542	671	1047	1590	98	10
gene:Solyc12g099490.3	1453	1812	1684	1711	1387	1414	2463	2391
gene:Solyc12g099480.2	0	0	0	0	0	0	46	6
gene:Solyc12g099470.2	3944	4882	4413	4527	3569	3090	3502	4895
gene:Solyc12g099465.1	521	356	686	176	216	337	8	36
gene:Solyc12g099460.1	0	0	0	0	0	0	0	0
gene:Solyc12g099450.3	649	739	632	766	492	531	216	436
gene:Solyc12g099440.3	4943	6358	9739	7505	4138	4194	4781	5458
gene:Solyc12g099430.2	12	4	10	30	23	20	12	6
gene:Solyc12g099420.2	1931	2177	2247	1739	1740	1868	2439	3346
gene:Solyc12g099410.2	0	0	12	0	0	0	288	182
gene:Solyc12g099400.2	921	984	4641	2535	1092	627	2649	1140
gene:Solyc12g099395.1	0	0	11	0	0	0	0	0
gene:Solyc12g099390.2	1289	1266	2035	1598	1312	1285	6266	8870
gene:Solyc12g099380.3	2	0	0	0	2	2	0	0
gene:Solyc12g099370.2	1281	1610	899	1544	1901	1760	1055	2439
gene:Solyc12g099360.2	14	30	74	161	54	32	184	289
gene:Solyc12g099350.1	149	239	137	223	146	121	36	188
gene:Solyc12g099340.3	1131	1200	1428	1342	723	572	619	1222
gene:Solyc12g099330.2	3925	4545	2961	4162	4631	3693	5413	4447
gene:Solyc12g099320.2	2897	2924	3178	2684	2328	2487	4211	4491
gene:Solyc12g099310.2	1542	1426	1949	1665	1327	1404	3657	2756
gene:Solyc12g099300.1	32	20	10	26	16	26	0	2
gene:Solyc12g099290.2	6280	7555	8413	7680	4306	3975	3035	2985
gene:Solyc12g099280.2	2149	2126	1598	1451	1439	1448	1025	3023
gene:Solyc12g099270.2	2495	2546	3506	3021	2103	2587	2351	3976
gene:Solyc12g099260.2	10092	11403	8882	11933	7979	7284	4377	5658
gene:Solyc12g099250.2	1756	1936	1956	1533	1557	1760	1693	1530
gene:Solyc12g099240.2	1964	2152	1884	1928	1981	1879	3111	2456
gene:Solyc12g099230.2	0	0	0	0	0	0	6	2
gene:Solyc12g099220.1	10	21	12	14	20	11	8	16
gene:Solyc12g099210.2	5	2	0	0	0	0	0	8
gene:Solyc12g099200.2	1009	835	1487	736	528	496	332	20
gene:Solyc12g099190.1	8	12	4	12	5	8	164	6
gene:Solyc12g099180.3	42	56	82	28	40	10	23	27
gene:Solyc12g099170.3	152	176	188	209	158	114	299	272
gene:Solyc12g099160.2	1366	1209	1545	1142	929	1374	271	526
gene:Solyc12g099150.1	0	0	0	0	0	0	0	0
gene:Solyc12g099140.2	0	0	2	0	2	8	2279	987
gene:Solyc12g099130.2	0	0	0	0	0	0	2	8
gene:Solyc12g099120.3	0	0	0	0	0	0	7	2
gene:Solyc12g099110.2	484	644	476	692	772	767	778	962
gene:Solyc12g099100.2	1724	2111	2468	2723	1734	1764	1621	1878
gene:Solyc12g099090.3	4148	4857	4254	3893	3881	3996	5662	7835
gene:Solyc12g099080.3	1477	1449	2253	2106	1241	1206	4977	4150
gene:Solyc12g099070.1	0	2	0	4	4	8	30	12
gene:Solyc12g099060.1	6	10	7	13	8	2	8	1
gene:Solyc12g099050.1	0	0	0	0	0	0	0	0
gene:Solyc12g099040.2	8	8	14	4	6	6	2	18
gene:Solyc12g099025.1	7227	7834	6069	6481	7612	6750	11147	12114
gene:Solyc12g099020.2	99	128	98	125	131	124	81	177
gene:Solyc12g099010.3	762	755	851	666	581	557	983	1307
gene:Solyc12g099000.3	12675	11027	22810	16405	5858	5486	7008	7211
gene:Solyc12g098990.2	769	726	656	720	812	784	664	744
gene:Solyc12g098980.2	2085	2322	2413	1893	1714	1796	2655	1857
gene:Solyc12g098960.2	1060	1102	1240	1325	978	1114	1283	1708
gene:Solyc12g098950.2	2725	2522	3008	3051	2851	2760	3753	3775
gene:Solyc12g098945.1	3	12	5	2	8	1	4	18
gene:Solyc12g098940.2	7436	8156	6255	6724	7229	7184	11638	14547
gene:Solyc12g098930.3	57	39	34	56	44	32	6	0
gene:Solyc12g098920.2	1109	1017	1191	1429	983	1011	1600	1847
gene:Solyc12g098910.2	449	455	427	425	266	315	899	682
gene:Solyc12g098900.2	18	18	413	0	0	2	8	2
gene:Solyc12g098890.2	2658	2773	2722	3144	3267	3357	1546	831
gene:Solyc12g098880.2	18	27	28	59	57	14	8	0
gene:Solyc12g098870.3	0	0	6	2	4	0	6	0
gene:Solyc12g098860.2	1131	1423	1009	1361	1318	1337	2040	2935
gene:Solyc12g098850.2	2122	2101	2491	3550	1425	957	8250	4492
gene:Solyc12g098840.3	0	0	0	0	0	0	0	2
gene:Solyc12g098830.2	3385	3484	3686	3282	3458	3729	3761	4457
gene:Solyc12g098827.1	0	0	0	0	0	0	0	0
gene:Solyc12g098823.1	0	0	0	2	0	0	0	0
gene:Solyc12g098820.2	3258	3409	3552	2889	2898	3117	2892	2995
gene:Solyc12g098810.2	89	93	120	117	128	97	90	28
gene:Solyc12g098805.1	0	0	0	6	0	0	0	0
gene:Solyc12g098800.2	0	0	0	0	0	0	0	0
gene:Solyc12g098790.1	2	2	1	0	0	0	0	0
gene:Solyc12g098780.2	22	31	22	18	12	17	0	0
gene:Solyc12g098770.2	4	10	4	4	0	0	0	0
gene:Solyc12g150132.1	17	10	14	43	81	68	0	0
gene:Solyc12g150131.1	334	327	346	364	573	482	0	54
gene:Solyc12g098750.1	0	0	0	0	0	0	0	0
gene:Solyc12g098740.2	5977	6513	7233	4620	4881	4063	4413	5697
gene:Solyc12g098730.3	0	0	0	0	0	0	0	0
gene:Solyc12g098720.3	436	460	493	445	415	429	623	380
gene:Solyc12g098710.2	886	615	989	842	666	761	2803	1799
gene:Solyc12g098700.1	4229	4590	5372	4452	3264	3469	6126	9707
gene:Solyc12g098690.2	1589	1810	1888	1476	1328	1509	6066	2867
gene:Solyc12g098680.3	3564	3803	4539	5172	3875	3627	4299	7456
gene:Solyc12g098670.3	2166	2300	2749	2322	2024	2215	4857	4480
gene:Solyc12g098660.3	611	531	941	411	292	339	129	107
gene:Solyc12g098650.2	4	17	2	4	0	0	50	20
gene:Solyc12g098640.3	6709	7249	7687	6757	4843	4743	6257	5455
gene:Solyc12g098630.2	2204	2631	2601	2737	2889	2942	694	770
gene:Solyc12g098620.2	301	226	217	144	112	114	286	29
gene:Solyc12g098607.1	6	2	16	0	2	0	60	58
gene:Solyc12g098603.1	738	573	871	322	194	158	6	1315
gene:Solyc12g098600.1	987	942	1143	1611	1159	1175	104	137
gene:Solyc12g098590.3	2404	1513	1060	2754	2002	1936	0	0
gene:Solyc12g098580.1	22	4	0	2	2	14	78	40
gene:Solyc12g098570.2	4072	3879	4396	1674	1442	1806	1579	2383
gene:Solyc12g098560.2	0	0	0	0	0	0	0	0
gene:Solyc12g098545.1	0	0	0	0	2	1	0	0
gene:Solyc12g098540.2	18	4	12	28	264	189	2	26
gene:Solyc12g098530.2	294	395	312	457	469	528	645	1074
gene:Solyc12g098520.2	687	644	908	605	437	596	3425	2342
gene:Solyc12g098510.1	186	165	209	177	187	170	115	270
gene:Solyc12g098500.2	1181	1493	1667	1098	1048	1048	1446	1539
gene:Solyc12g098490.2	540	674	600	526	598	428	254	618
gene:Solyc12g098480.1	0	0	0	0	0	0	49	0
gene:Solyc12g098467.1	544	674	691	521	405	417	726	1318
gene:Solyc12g098463.1	778	806	863	633	600	600	1704	1466
gene:Solyc12g098460.2	0	0	0	0	0	0	0	0
gene:Solyc12g098450.2	12	14	28	17	21	15	158	70
gene:Solyc12g098440.2	2063	2072	2320	1303	1229	1265	2529	1967
gene:Solyc12g098430.2	524	566	476	537	582	601	797	702
gene:Solyc12g098420.3	3265	3493	3717	3496	3423	3266	3308	3531
gene:Solyc12g098410.2	132	111	28	174	226	201	12	1
gene:Solyc12g098400.2	28	18	4	21	17	14	34	0
gene:Solyc12g098390.3	188	162	207	160	141	189	24	6
gene:Solyc12g098380.3	1071	1158	1357	1300	1055	1091	2189	2673
gene:Solyc12g098370.2	732	863	629	842	701	674	328	754
gene:Solyc12g098360.2	347	332	316	373	364	383	481	921
gene:Solyc12g098350.1	765	669	794	808	836	842	903	625
gene:Solyc12g098340.2	61	59	73	82	66	107	78	60
gene:Solyc12g098330.3	5651	6448	4617	5634	6694	6600	7329	7358
gene:Solyc12g098320.3	28	26	10	78	52	22	0	0
gene:Solyc12g098310.2	922	962	1118	1763	1422	1188	4740	3529
gene:Solyc12g098300.1	0	0	0	0	0	0	0	0
gene:Solyc12g098290.1	0	0	0	0	0	0	0	0
gene:Solyc12g098280.3	0	0	0	0	0	0	0	0
gene:Solyc12g098270.1	0	0	0	0	0	0	0	0
gene:Solyc12g098260.1	0	0	0	0	0	0	0	0
gene:Solyc12g098250.1	0	0	0	0	0	0	0	0
gene:Solyc12g098240.1	0	0	0	0	0	0	0	4
gene:Solyc12g098225.1	668	512	584	1388	1060	682	16	4
gene:Solyc12g098220.2	155	246	124	335	446	475	267	336
gene:Solyc12g098210.3	0	0	2	0	0	2	1	12
gene:Solyc12g098200.2	0	0	0	0	0	0	206	172
gene:Solyc12g098190.2	141	146	178	186	112	102	457	388
gene:Solyc12g098180.3	8	2	0	0	0	2	3	1
gene:Solyc12g098170.1	0	0	0	0	0	0	0	0
gene:Solyc12g098160.2	2258	2661	2452	2450	2242	2039	2556	5266
gene:Solyc12g098150.2	5216	5307	5349	4246	4212	4194	5905	4701
gene:Solyc12g098140.2	0	0	0	0	0	0	10	0
gene:Solyc12g098130.1	12	10	8	11	36	58	0	0
gene:Solyc12g098120.3	0	0	1	0	0	0	74	33
gene:Solyc12g098110.1	0	6	0	10	2	0	6	0
gene:Solyc12g098100.3	104	70	119	106	78	102	2	2
gene:Solyc12g098095.1	2	14	6	0	0	0	0	0
gene:Solyc12g098090.1	0	0	0	0	0	0	0	0
gene:Solyc12g097090.3	0	6	0	0	0	0	2	0
gene:Solyc12g097080.2	24	6	6	6	18	8	6	0
gene:Solyc12g097070.3	786	955	1023	1131	1109	1056	1191	1522
gene:Solyc12g097060.1	24	18	10	14	24	29	122	1
gene:Solyc12g097050.2	0	4	2	0	2	0	16	1
gene:Solyc12g097040.1	813	922	853	979	789	661	1260	897
gene:Solyc12g097030.2	1566	1447	1522	1690	1428	1400	938	948
gene:Solyc12g097020.2	387	315	431	172	258	219	0	25
gene:Solyc12g097010.1	1107	1020	1235	504	683	752	2	72
gene:Solyc12g097000.2	524	393	435	317	597	882	0	1
gene:Solyc12g096990.2	984	1363	761	1196	1286	1328	634	1375
gene:Solyc12g096980.3	52	46	35	41	38	26	0	0
gene:Solyc12g096970.2	0	0	0	0	0	0	41	20
gene:Solyc12g096960.2	12	16	45	16	12	12	0	0
gene:Solyc12g096950.2	85	99	138	126	92	114	8	30
gene:Solyc12g096940.3	0	0	0	0	4	0	2	2
gene:Solyc12g096930.2	0	0	2	2	0	0	0	0
gene:Solyc12g096920.1	129	78	183	78	141	93	0	0
gene:Solyc12g096910.1	0	0	0	0	0	0	0	0
gene:Solyc12g096900.2	762	548	612	468	364	389	6	0
gene:Solyc12g096890.1	27	40	33	7	3	4	0	0
gene:Solyc12g096880.3	24	13	26	2	5	8	0	0
gene:Solyc12g096870.1	74	70	28	550	184	80	14	0
gene:Solyc12g096860.3	263	220	237	228	270	193	26	56
gene:Solyc12g096850.3	15	12	28	41	55	17	0	0
gene:Solyc12g096840.3	0	0	0	0	0	0	0	8
gene:Solyc12g096830.2	525	522	831	534	424	461	1562	1373
gene:Solyc12g096820.1	1515	1358	1017	1923	1075	890	72	61
gene:Solyc12g096810.2	486	481	626	1327	628	502	470	1287
gene:Solyc12g096800.1	91	45	167	46	101	83	24	12
gene:Solyc12g096790.1	832	881	1324	3036	1424	1168	404	263
gene:Solyc12g096780.2	11000	9682	13853	23051	7450	5912	2027	6117
gene:Solyc12g096770.1	4559	3707	7068	9158	2611	1594	1296	2217
gene:Solyc12g096760.2	1918	1965	2941	3232	2731	2946	5055	4859
gene:Solyc12g096750.2	0	0	0	0	0	0	4	0
gene:Solyc12g096740.1	0	0	0	0	0	0	36	24
gene:Solyc12g096730.3	0	0	0	5	4	0	0	0
gene:Solyc12g096710.2	238	283	332	138	157	252	90	60
gene:Solyc12g096700.2	10295	11476	9127	8601	9980	9838	9304	8620
gene:Solyc12g096690.2	1942	2031	2116	1359	1462	1570	3053	2874
gene:Solyc12g096680.1	106	105	76	96	60	65	179	411
gene:Solyc12g096670.2	1068	910	935	917	477	570	1444	5288
gene:Solyc12g096660.3	114	99	108	114	121	168	132	222
gene:Solyc12g096650.2	1315	1427	1438	1424	1225	1362	2798	1911
gene:Solyc12g096640.3	0	0	0	2	0	0	155	70
gene:Solyc12g096630.2	0	0	0	0	0	0	6	0
gene:Solyc12g096620.1	0	0	0	0	0	0	0	0
gene:Solyc12g096610.2	378	285	316	191	147	195	230	217
gene:Solyc12g096600.2	148	138	138	133	53	93	78	98
gene:Solyc12g096590.3	1277	1239	1136	949	1094	1007	875	696
gene:Solyc12g096580.2	592	597	781	875	671	583	1462	2910
gene:Solyc12g096570.1	6	7	9	8	2	5	1426	1737
gene:Solyc12g096560.2	3672	3996	4530	4832	4236	4036	6188	9738
gene:Solyc12g096550.2	3056	3025	3238	3084	2485	2009	995	2127
gene:Solyc12g096540.2	9393	10299	8471	9096	10436	10079	11339	11395
gene:Solyc12g096530.1	585	571	541	683	577	563	9	152
gene:Solyc12g096520.3	1726	1928	2178	2221	1785	1828	4777	4010
gene:Solyc12g096510.3	316	346	261	254	211	192	190	285
gene:Solyc12g096500.2	5044	5068	7694	5370	3922	3949	6238	6926
gene:Solyc12g096490.1	46	27	62	86	43	52	74	88
gene:Solyc12g096480.1	22	45	23	46	44	16	16	11
gene:Solyc12g096470.2	1076	1165	1268	1461	1142	1141	2236	1780
gene:Solyc12g096460.3	513	566	776	608	593	610	2382	1681
gene:Solyc12g096450.2	1226	1420	1128	1088	1224	1212	1556	2124
gene:Solyc12g096440.1	0	0	0	6	0	0	0	0
gene:Solyc12g096430.1	164	293	871	1664	204	145	24	36
gene:Solyc12g096420.2	639	655	769	1126	732	847	3255	1984
gene:Solyc12g096400.2	1	15	22	21	7	4	17	30
gene:Solyc12g096390.2	611	718	786	501	488	421	697	796
gene:Solyc12g096380.1	0	0	0	2	0	0	0	0
gene:Solyc12g096370.2	1053	1218	1160	917	660	832	1502	1797
gene:Solyc12g096350.2	599	611	822	626	657	621	565	1426
gene:Solyc12g096340.2	2301	2408	3215	2735	2282	2315	6627	5339
gene:Solyc12g096330.3	253	314	301	298	244	270	572	580
gene:Solyc12g096320.2	743	836	869	1402	958	1084	2251	2158
gene:Solyc12g096310.2	34	32	42	40	43	71	741	16
gene:Solyc12g096300.2	17740	20900	14484	17242	19416	17370	17594	18527
gene:Solyc12g096295.1	19	18	7	13	10	9	40	20
gene:Solyc12g096290.3	744	911	897	758	855	750	893	1242
gene:Solyc12g096280.2	166	168	252	196	145	182	447	560
gene:Solyc12g096270.2	301	338	424	470	417	397	900	546
gene:Solyc12g096260.2	15	18	19	18	5	11	11	28
gene:Solyc12g096250.2	538	769	500	666	349	300	332	286
gene:Solyc12g096240.3	0	0	0	0	0	0	0	0
gene:Solyc12g096230.2	302	291	291	298	244	264	470	631
gene:Solyc12g096220.2	18760	20430	17904	19538	18502	17776	23060	34139
gene:Solyc12g096210.2	44	46	39	22	8	0	17	13
gene:Solyc12g096200.2	0	0	0	0	0	0	0	0
gene:Solyc12g096195.1	0	0	0	0	0	0	0	0
gene:Solyc12g096190.2	1593	1470	1746	2579	2573	2852	3176	3356
gene:Solyc12g096180.1	28	31	40	24	6	7	0	0
gene:Solyc12g096175.1	2	4	6	0	0	0	0	0
gene:Solyc12g096170.2	517	740	516	702	625	566	556	544
gene:Solyc12g096160.2	1029	1152	1142	1060	937	970	2413	2117
gene:Solyc12g096150.2	9533	11118	7164	7938	8749	7845	7317	7477
gene:Solyc12g096145.1	24	52	27	20	15	17	18	18
gene:Solyc12g096140.3	1138	1153	1112	1164	987	932	1237	1791
gene:Solyc12g096130.2	102	106	160	287	176	202	392	576
gene:Solyc12g096120.2	646	756	1064	962	763	763	1422	1283
gene:Solyc12g096110.3	142	160	406	507	177	146	204	98
gene:Solyc12g096105.1	33	51	172	199	44	16	45	6
gene:Solyc12g096100.2	364	420	517	506	526	529	220	258
gene:Solyc12g096090.2	448	455	546	359	393	339	620	654
gene:Solyc12g096080.2	2	0	32	6	0	0	20	0
gene:Solyc12g096070.2	1024	1141	953	1008	1068	1094	1297	2904
gene:Solyc12g096060.2	587	615	589	641	703	788	1008	566
gene:Solyc12g096050.2	1093	1252	990	1254	1007	1060	2351	2769
gene:Solyc12g096040.3	2065	2428	1460	2597	3247	2961	2202	3430
gene:Solyc12g096030.1	353	343	234	384	340	226	529	827
gene:Solyc12g096020.3	2379	2309	1787	2183	1727	1408	3076	3890
gene:Solyc12g096010.3	538	558	577	407	379	384	329	538
gene:Solyc12g096000.2	7789	8687	7719	6408	6632	6868	8295	8486
gene:Solyc12g095990.2	12091	13527	11941	10878	11439	11540	15182	14128
gene:Solyc12g095980.2	348	292	349	318	208	254	144	203
gene:Solyc12g095970.3	16	10	31	16	14	30	4	6
gene:Solyc12g095950.1	0	0	0	0	0	0	0	0
gene:Solyc12g095960.3	20853	23144	23598	21172	20350	20257	25984	44856
gene:Solyc12g095940.1	455	444	405	365	382	273	557	468
gene:Solyc12g095930.2	1661	1781	1418	2284	2145	2055	2358	3552
gene:Solyc12g095920.2	663	815	825	1176	1075	969	1552	2084
gene:Solyc12g095910.2	4262	4500	7861	3825	4224	6068	7354	7674
gene:Solyc12g095900.2	877	843	1281	1101	1023	1189	1804	2378
gene:Solyc12g095890.2	2966	2967	3103	2840	2528	2708	4042	5214
gene:Solyc12g095880.2	1381	1439	1750	1508	1431	1403	4381	2785
gene:Solyc12g095870.3	982	1114	1274	1474	993	1229	835	230
gene:Solyc12g095860.2	2539	2502	2824	3061	2540	2711	2419	2997
gene:Solyc12g095850.2	879	987	1027	1269	1118	1092	1130	1155
gene:Solyc12g095840.2	811	1099	1302	1196	697	739	921	1149
gene:Solyc12g095830.3	4821	4923	5700	6090	4959	5017	9480	12292
gene:Solyc12g095820.3	472	708	1052	1150	567	515	716	610
gene:Solyc12g095810.2	407	408	644	298	253	361	789	626
gene:Solyc12g095800.2	2395	2398	2915	2882	2685	2494	5127	4559
gene:Solyc12g095790.2	3239	3551	2803	3253	2790	2861	2331	2254
gene:Solyc12g095780.2	3247	3909	3426	3211	3115	3206	2581	3276
gene:Solyc12g095770.2	1579	1621	1695	2103	1894	1820	2379	1858
gene:Solyc12g095760.2	9121	10731	9714	13007	10257	9846	5848	11611
gene:Solyc12g095750.2	374	318	432	413	183	178	1063	1080
gene:Solyc12g095740.3	0	0	0	0	0	0	0	0
gene:Solyc12g094740.3	0	0	0	0	0	0	0	0
gene:Solyc12g094720.3	377	411	378	467	568	540	48	20
gene:Solyc12g094710.2	4069	4420	4289	4884	4771	4753	4769	5220
gene:Solyc12g094700.3	785	699	599	818	773	589	4	26
gene:Solyc12g094690.1	96	129	208	206	90	62	42	12
gene:Solyc12g094680.3	0	0	0	0	0	0	27	8
gene:Solyc12g094670.1	0	0	0	0	0	0	4	0
gene:Solyc12g094660.2	1797	1495	1873	1457	1945	1682	10	131
gene:Solyc12g094650.3	1482	1141	1156	721	794	1358	26	39
gene:Solyc12g094640.3	995	759	1118	2774	1838	1418	277	0
gene:Solyc12g094630.2	1025	1013	1732	1562	1430	1868	2224	1734
gene:Solyc12g094620.3	3497	3930	7983	13815	11379	14666	1552	2344
gene:Solyc12g094610.3	2	0	4	12	0	0	103	43
gene:Solyc12g094600.3	20	14	10	22	9	28	0	4
gene:Solyc12g094590.2	914	1207	1827	1650	900	735	950	1504
gene:Solyc12g094580.3	280	325	259	379	248	182	132	396
gene:Solyc12g094570.1	432	468	360	382	392	305	243	531
gene:Solyc12g094560.2	0	0	0	0	0	0	0	0
gene:Solyc12g094550.2	513	816	1955	1291	329	342	161	344
gene:Solyc12g094540.1	362	352	587	490	286	211	849	843
gene:Solyc12g094530.1	0	0	0	4	0	0	0	0
gene:Solyc12g094520.2	1796	2145	6793	4081	1322	1205	1402	1230
gene:Solyc12g094510.2	299	372	464	373	268	223	1041	678
gene:Solyc12g094500.3	1058	1117	1522	930	864	917	982	1099
gene:Solyc12g094490.2	2027	2216	2970	2604	2117	2109	3545	6717
gene:Solyc12g094480.3	375	340	413	468	341	366	491	427
gene:Solyc12g094470.3	21	32	4	1	13	8	0	0
gene:Solyc12g094460.2	0	2	8	10	12	6	0	2
gene:Solyc12g094450.3	831	835	972	682	604	757	1729	1197
gene:Solyc12g094440.2	46	47	66	86	189	147	0	4
gene:Solyc12g094435.1	4	0	0	2	0	0	1	3
gene:Solyc12g094430.1	617	561	658	942	966	1157	1406	1006
gene:Solyc12g094420.2	284	354	393	372	355	346	499	937
gene:Solyc12g094410.3	0	6	0	6	2	0	0	0
gene:Solyc12g094400.2	33	36	9	33	24	26	17	0
gene:Solyc12g094390.1	2	14	16	12	4	2	0	0
gene:Solyc12g094385.1	15	33	47	29	45	28	76	56
gene:Solyc12g094380.2	208	258	268	220	194	238	405	207
gene:Solyc12g089385.1	108	122	94	104	166	262	0	4
gene:Solyc12g089380.2	51	47	123	17	4	8	0	0
gene:Solyc12g089370.2	0	0	22	8	0	0	0	4
gene:Solyc12g089360.1	0	0	0	0	0	0	0	0
gene:Solyc12g089350.3	4	6	7	0	0	0	8	0
gene:Solyc12g089340.2	1996	2310	2985	3242	2138	2102	2454	4051
gene:Solyc12g089330.2	2	0	6	0	6	8	26	48
gene:Solyc12g089320.3	2018	2002	2292	1813	1589	1761	3507	3972
gene:Solyc12g089310.2	500	708	1521	880	248	182	8	16
gene:Solyc12g089300.2	0	0	0	0	0	0	226	6
gene:Solyc12g150130.1	0	0	0	0	0	0	0	0
